Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Qwen3-8B (FC),80.68%,80.68%,84.88%,79.77%,75.00%,79.17%,77.60%,87.50%
2,Qwen3-8B (Prompt),79.64%,79.64%,82.95%,78.82%,87.50%,75.00%,77.60%,75.00%
3,ToolACE-2-8B (FC),77.20%,77.20%,70.16%,79.30%,75.00%,62.50%,84.50%,75.00%
4,BitAgent-8B,76.17%,76.17%,78.29%,75.78%,87.50%,62.50%,75.45%,75.00%
5,watt-tool-8B (FC),76.09%,76.09%,78.29%,75.69%,87.50%,62.50%,76.13%,75.00%
6,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,74.61%,74.61%,80.62%,73.31%,68.75%,70.83%,58.48%,100.00%
7,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,73.58%,73.58%,79.07%,72.55%,62.50%,66.67%,68.44%,100.00%
8,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen-nomlp,73.58%,73.58%,79.84%,72.27%,68.75%,66.67%,53.85%,100.00%
9,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,73.58%,73.58%,78.29%,72.74%,62.50%,66.67%,68.44%,100.00%
10,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,73.43%,73.43%,79.46%,72.27%,62.50%,66.67%,65.72%,100.00%
11,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,73.28%,73.28%,78.68%,72.27%,62.50%,66.67%,69.23%,87.50%
12,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,73.21%,73.21%,77.91%,72.46%,62.50%,62.50%,61.31%,93.75%
13,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen-nomlp,73.13%,73.13%,77.52%,72.36%,68.75%,62.50%,64.03%,100.00%
14,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,72.46%,72.46%,80.62%,70.85%,62.50%,62.50%,60.07%,100.00%
15,Ministral-8B-Instruct-2410 (FC),72.32%,72.32%,75.97%,71.60%,62.50%,70.83%,53.17%,81.25%
16,xLAM-2-8b-fc-r LoRA ckpt3465-1batch-2560seq-3epoch-multi3000-nomlp,72.17%,72.17%,74.81%,71.70%,68.75%,66.67%,62.90%,93.75%
17,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,72.09%,72.09%,79.84%,70.56%,62.50%,62.50%,56.79%,93.75%
18,xLAM-2-8b-fc-r LoRA ckpt6240-1batch-2560seq-3epoch-multi3000-nomlp,71.95%,71.95%,74.03%,71.60%,68.75%,66.67%,61.88%,93.75%
19,xLAM-2-8b-fc-r LoRA ckpt5865-1batch-2560seq-3epoch-multi2000-nomlp,71.50%,71.50%,74.03%,71.32%,56.25%,62.50%,63.35%,93.75%
20,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,71.13%,71.13%,77.52%,69.80%,62.50%,66.67%,60.41%,100.00%
21,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,71.13%,71.13%,76.74%,70.18%,62.50%,58.33%,54.86%,100.00%
22,Llama-3.1-8B-Instruct (Prompt),70.54%,70.54%,72.48%,70.85%,56.25%,45.83%,36.99%,93.75%
23,xLAM-2-8b-fc-r LoRA ckpt3260-1batch-2560seq-3epoch-multi2000-nomlp,70.54%,70.54%,74.42%,69.90%,62.50%,62.50%,61.88%,93.75%
24,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,70.17%,70.17%,75.19%,69.14%,62.50%,66.67%,48.98%,93.75%
25,xLAM-2-8b-fc-r LoRA ckpt6615-1batch-2560seq-3epoch-multi4000-nomlp,69.95%,69.95%,73.26%,69.23%,62.50%,70.83%,68.55%,87.50%
26,xLAM-2-8b-fc-r LoRA ckpt3675-1batch-2560seq-3epoch-multi4000-nomlp,69.87%,69.87%,74.42%,69.23%,62.50%,54.17%,63.46%,93.75%
27,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,68.91%,68.91%,72.48%,68.57%,56.25%,54.17%,57.47%,93.75%
28,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,68.84%,68.84%,74.42%,68.00%,62.50%,50.00%,66.97%,87.50%
29,xLAM-2-8b-fc-r LoRA ckpt4245-1batch-2560seq-3epoch-multi-all-nomlp,68.62%,68.62%,71.32%,68.38%,62.50%,54.17%,59.16%,93.75%
30,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,68.32%,68.32%,74.81%,67.14%,62.50%,54.17%,57.92%,87.50%
31,xLAM-2-8b-fc-r (FC),67.73%,67.73%,74.81%,66.57%,50.00%,54.17%,64.14%,87.50%
32,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,66.99%,66.99%,74.81%,65.34%,62.50%,58.33%,63.46%,93.75%
33,CoALM-8B,66.54%,66.54%,70.54%,65.91%,62.50%,54.17%,82.58%,87.50%
34,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,66.17%,66.17%,73.26%,64.86%,62.50%,50.00%,64.59%,87.50%
35,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,65.43%,65.43%,71.32%,64.39%,62.50%,50.00%,69.34%,87.50%
36,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,65.43%,65.43%,73.26%,64.01%,62.50%,45.83%,60.63%,87.50%
